destination,year,migrant_stock
India,2020,4929816.0
India,2024,4796255.0
Iran (Islamic Republic of),1990,4291601.0
Iran (Islamic Republic of),1995,2937668.0
Iran (Islamic Republic of),2000,2476469.0
Iran (Islamic Republic of),2005,2552206.0
Iran (Islamic Republic of),2010,2722397.0
Iran (Islamic Republic of),2015,2729939.0
Iran (Islamic Republic of),2020,2797235.0
Iran (Islamic Republic of),2024,3840654.0
Maldives,1990,8689.0
Maldives,1995,18510.0
Maldives,2000,27092.0
Maldives,2005,45045.0
Maldives,2010,54659.0
Maldives,2015,64273.0
Maldives,2020,70079.0
Maldives,2024,75099.0
Nepal,1990,429974.0
Nepal,1995,690225.0
Nepal,2000,717900.0
Nepal,2005,680729.0
Nepal,2010,581889.0
Nepal,2015,509471.0
Nepal,2020,487564.0
Nepal,2024,470719.0
Pakistan,1990,6208204.0
Pakistan,1995,3669308.0
Pakistan,2000,4181912.0
Pakistan,2005,3174558.0
Pakistan,2010,3943681.0
Pakistan,2015,3506520.0
Pakistan,2020,3276580.0
Pakistan,2024,4175958.0
Sri Lanka,1990,41561.0
Sri Lanka,1995,40841.0
Sri Lanka,2000,40132.0
Sri Lanka,2005,39526.0
Sri Lanka,2010,38959.0
Sri Lanka,2015,39706.0
Sri Lanka,2020,40254.0
Sri Lanka,2024,40698.0
South-Eastern Asia,1990,2637040.0
South-Eastern Asia,1995,3250697.0
South-Eastern Asia,2000,4608647.0
South-Eastern Asia,2005,6040145.0
South-Eastern Asia,2010,8567047.0
South-Eastern Asia,2015,9631549.0
South-Eastern Asia,2020,10242239.0
South-Eastern Asia,2024,11029593.0
Brunei Darussalam,1990,73200.0
Brunei Darussalam,1995,84748.0
Brunei Darussalam,2000,96296.0
Brunei Darussalam,2005,98441.0
Brunei Darussalam,2010,100587.0
Brunei Darussalam,2015,102733.0
Brunei Darussalam,2020,111959.0
Brunei Darussalam,2024,119933.0
Cambodia,1990,38375.0
Cambodia,1995,92230.0
Cambodia,2000,146085.0
Cambodia,2005,114096.0
Cambodia,2010,82028.0
Cambodia,2015,73962.0
Cambodia,2020,79341.0
Cambodia,2024,83925.0
Indonesia,1990,92058.0
Indonesia,1995,114419.0
Indonesia,2000,287645.0
Indonesia,2005,87508.0
Indonesia,2010,113288.0
Indonesia,2015,192119.0
Indonesia,2020,306702.0
Indonesia,2024,445726.0
Lao People's Democratic Republic,1990,22866.0
Lao People's Democratic Republic,1995,23526.0
Lao People's Democratic Republic,2000,21948.0
Lao People's Democratic Republic,2005,20371.0
Lao People's Democratic Republic,2010,32955.0
Lao People's Democratic Republic,2015,45538.0
Lao People's Democratic Republic,2020,48731.0
Lao People's Democratic Republic,2024,51446.0
Malaysia,1990,1027572.0
Malaysia,1995,1312828.0
Malaysia,2000,1613819.0
Malaysia,2005,2174308.0
Malaysia,2010,3086876.0
Malaysia,2015,3513497.0
Malaysia,2020,3718696.0
Malaysia,2024,3806514.0
Myanmar,1990,133545.0
Myanmar,1995,113663.0
Myanmar,2000,98011.0
Myanmar,2005,83025.0
Myanmar,2010,76414.0
Myanmar,2015,73309.0
Myanmar,2020,76446.0
Myanmar,2024,79052.0
Philippines,1990,134600.0
Philippines,1995,145980.0
Philippines,2000,157361.0
Philippines,2005,168741.0
Philippines,2010,178147.0
Philippines,2015,131897.0
Philippines,2020,87212.0
Philippines,2024,87212.0
Singapore,1990,729377.0
Singapore,1995,993616.0
Singapore,2000,1319433.0
Singapore,2005,1494527.0
Singapore,2010,2160350.0
Singapore,2015,2535340.0
Singapore,2020,2589107.0
Singapore,2024,2841665.0
Thailand,1990,287933.0
Thailand,1995,271568.0
Thailand,2000,771234.0
Thailand,2005,1705845.0
Thailand,2010,2640454.0
Thailand,2015,2853248.0
Thailand,2020,3015007.0
Thailand,2024,3179399.0
Timor-Leste,1990,8954.0
Timor-Leste,1995,9743.0
Timor-Leste,2000,10602.0
Timor-Leste,2005,11286.0
Timor-Leste,2010,11540.0
Timor-Leste,2015,8520.0
Timor-Leste,2020,8399.0
Timor-Leste,2024,8303.0
Viet Nam,1990,88560.0
Viet Nam,1995,88376.0
Viet Nam,2000,86213.0
Viet Nam,2005,81997.0
Viet Nam,2010,84408.0
Viet Nam,2015,101386.0
Viet Nam,2020,200639.0
Viet Nam,2024,326418.0
Western Asia,1990,14489476.0
Western Asia,1995,16497765.0
Western Asia,2000,18138496.0
Western Asia,2005,21262754.0
Western Asia,2010,30063216.0
Western Asia,2015,41799209.0
Western Asia,2020,45765868.0
Western Asia,2024,49211670.0
Armenia,1990,433541.0
Armenia,1995,622042.0
Armenia,2000,588242.0
Armenia,2005,476812.0
Armenia,2010,210873.0
Armenia,2015,190896.0
Armenia,2020,207139.0
Armenia,2024,274645.0
Azerbaijan,1990,402177.0
Azerbaijan,1995,588812.0
Azerbaijan,2000,523518.0
Azerbaijan,2005,301922.0
Azerbaijan,2010,251417.0
Azerbaijan,2015,224337.0
Azerbaijan,2020,198894.0
Azerbaijan,2024,218460.0
Bahrain,1990,176972.0
Bahrain,1995,213818.0
Bahrain,2000,238924.0
Bahrain,2005,387591.0
Bahrain,2010,643007.0
Bahrain,2015,721540.0
Bahrain,2020,785983.0
Bahrain,2024,840202.0
Cyprus,1990,43805.0
Cyprus,1995,61941.0
Cyprus,2000,80076.0
Cyprus,2005,122849.0
Cyprus,2010,188472.0
Cyprus,2015,176693.0
Cyprus,2020,190366.0
Cyprus,2024,202062.0
Georgia,1990,304470.0
Georgia,1995,152235.0
Georgia,2000,76117.0
Georgia,2005,71296.0
Georgia,2010,73078.0
Georgia,2015,76685.0
Georgia,2020,79368.0
Georgia,2024,81582.0
Iraq,1990,83638.0
Iraq,1995,199460.0
Iraq,2000,210525.0
Iraq,2005,134863.0
Iraq,2010,120466.0
Iraq,2015,359352.0
Iraq,2020,365766.0
Iraq,2024,370980.0
Israel,1990,1622505.0
Israel,1995,1781111.0
Israel,2000,1838155.0
Israel,2005,1881017.0
Israel,2010,1953214.0
Israel,2015,2019891.0
Israel,2020,2068830.0
Israel,2024,2091569.0
Jordan,1990,1131529.0
Jordan,1995,1511664.0
Jordan,2000,1834160.0
Jordan,2005,2229368.0
Jordan,2010,3723368.0
Jordan,2015,4386976.0
Jordan,2020,4940142.0
Jordan,2024,5280168.0
Kuwait,1990,1056143.0
Kuwait,1995,935152.0
Kuwait,2000,1116932.0
Kuwait,2005,1353949.0
Kuwait,2010,1871827.0
Kuwait,2015,2610785.0
Kuwait,2020,3030731.0
Kuwait,2024,3323191.0
Lebanon,1990,424488.0
Lebanon,1995,466437.0
Lebanon,2000,514836.0
Lebanon,2005,553850.0
Lebanon,2010,625884.0
Lebanon,2015,1763717.0
Lebanon,2020,1586346.0
Lebanon,2024,1422583.0
Oman,1990,526784.0
Oman,1995,538639.0
Oman,2000,550760.0
Oman,2005,608416.0
Oman,2010,803387.0
Oman,2015,1827972.0
Oman,2020,1766142.0
Oman,2024,2283366.0
Qatar,1990,215508.0
Qatar,1995,307661.0
Qatar,2000,439215.0
Qatar,2005,643000.0
Qatar,2010,1409000.0
Qatar,2015,2090000.0
Qatar,2020,2182000.0
Qatar,2024,2337000.0
Saudi Arabia,1990,4484868.0
Saudi Arabia,1995,4853489.0
Saudi Arabia,2000,5219382.0
Saudi Arabia,2005,6605114.0
Saudi Arabia,2010,8976961.0
Saudi Arabia,2015,13251622.0
Saudi Arabia,2020,13071258.0
Saudi Arabia,2024,13683841.0
State of Palestine,1990,288332.0
State of Palestine,1995,281767.0
State of Palestine,2000,275202.0
State of Palestine,2005,274520.0
State of Palestine,2010,273840.0
State of Palestine,2015,273163.0
State of Palestine,2020,272784.0
State of Palestine,2024,272481.0
Syrian Arab Republic,1990,714140.0
Syrian Arab Republic,1995,830610.0
Syrian Arab Republic,2000,834916.0
Syrian Arab Republic,2005,882398.0
Syrian Arab Republic,2010,1783595.0
Syrian Arab Republic,2015,835716.0
Syrian Arab Republic,2020,868711.0
Syrian Arab Republic,2024,896042.0
Türkiye,1990,1159415.0
Türkiye,1995,1220898.0
Türkiye,2000,1279019.0
Türkiye,2005,1345188.0
Türkiye,2010,1420433.0
Türkiye,2015,3750982.0
Türkiye,2020,6580295.0
Türkiye,2024,7083501.0
United Arab Emirates,1990,1302298.0
United Arab Emirates,1995,1795514.0
United Arab Emirates,2000,2373577.0
United Arab Emirates,2005,3218730.0
United Arab Emirates,2010,5446000.0
United Arab Emirates,2015,6859000.0
United Arab Emirates,2020,7184000.0
United Arab Emirates,2024,8157000.0
Yemen,1990,118863.0
Yemen,1995,136515.0
Yemen,2000,144940.0
Yemen,2005,171871.0
Yemen,2010,288394.0
Yemen,2015,379882.0
Yemen,2020,387113.0
Yemen,2024,392997.0
EUROPE,1990,51464935.0
EUROPE,1995,56456601.0
EUROPE,2000,59184839.0
EUROPE,2005,65793082.0
EUROPE,2010,72509226.0
EUROPE,2015,75711153.0
EUROPE,2020,82971932.0
EUROPE,2024,94051503.0
Eastern Europe,1990,22316123.0
Eastern Europe,1995,21705675.0
Eastern Europe,2000,20853646.0
Eastern Europe,2005,20092493.0
Eastern Europe,2010,19389898.0
Eastern Europe,2015,17559211.0
Eastern Europe,2020,16162524.0
Eastern Europe,2024,18646093.0
Belarus,1990,1248977.0
Belarus,1995,1186282.0
Belarus,2000,1123586.0
Belarus,2005,1106982.0
Belarus,2010,1090378.0
Belarus,2015,1082905.0
Belarus,2020,1067090.0
Belarus,2024,1054604.0
Bulgaria,1990,21510.0
Bulgaria,1995,32435.0
Bulgaria,2000,43360.0
Bulgaria,2005,61074.0
Bulgaria,2010,76287.0
Bulgaria,2015,123803.0
Bulgaria,2020,184363.0
Bulgaria,2024,299100.0
Czechia,1990,442428.0
Czechia,1995,531039.0
Czechia,2000,639018.0
Czechia,2005,670689.0
Czechia,2010,692197.0
Czechia,2015,688047.0
Czechia,2020,680221.0
Czechia,2024,1025199.0
Hungary,1990,347510.0
Hungary,1995,322234.0
Hungary,2000,296957.0
Hungary,2005,366787.0
Hungary,2010,436616.0
Hungary,2015,475508.0
Hungary,2020,584567.0
Hungary,2024,689565.0
Poland,1990,1127393.0
Poland,1995,963028.0
Poland,2000,822627.0
Poland,2005,724887.0
Poland,2010,649114.0
Poland,2015,683663.0
Poland,2020,738099.0
Poland,2024,1739901.0
Republic of Moldova*,1990,533397.0
Republic of Moldova*,1995,365099.0
Republic of Moldova*,2000,250134.0
Republic of Moldova*,2005,174263.0
Republic of Moldova*,2010,132386.0
Republic of Moldova*,2015,101730.0
Republic of Moldova*,2020,77291.0
Republic of Moldova*,2024,188207.0
Romania,1990,135745.0
Romania,1995,134970.0
Romania,2000,134204.0
Romania,2005,139430.0
Romania,2010,148107.0
Romania,2015,212560.0
Romania,2020,338734.0
Romania,2024,655579.0
Russian Federation,1990,11524948.0
Russian Federation,1995,11928927.0
Russian Federation,2000,11900297.0
Russian Federation,2005,11667588.0
Russian Federation,2010,11199727.0
Russian Federation,2015,9098229.0
Russian Federation,2020,7297611.0
Russian Federation,2024,7605774.0
Slovakia,1990,41295.0
Slovakia,1995,69323.0
Slovakia,2000,116376.0
Slovakia,2005,130491.0
Slovakia,2010,146319.0
Slovakia,2015,177624.0
Slovakia,2020,197161.0
Slovakia,2024,323991.0
Ukraine*,1990,6892920.0
Ukraine*,1995,6172338.0
Ukraine*,2000,5527087.0
Ukraine*,2005,5050302.0
Ukraine*,2010,4818767.0
Ukraine*,2015,4915142.0
Ukraine*,2020,4997387.0
Ukraine*,2024,5064173.0
Northern Europe,1990,6656282.0
Northern Europe,1995,7237021.0
Northern Europe,2000,7963939.0
Northern Europe,2005,9668148.0
Northern Europe,2010,11953254.0
Northern Europe,2015,13955273.0
Northern Europe,2020,16246850.0
Northern Europe,2024,18543047.0
Channel Islands*,1990,61660.0
Channel Islands*,1995,60519.0
Channel Islands*,2000,64301.0
Channel Islands*,2005,70941.0
Channel Islands*,2010,77581.0
Channel Islands*,2015,82307.0
Channel Islands*,2020,84087.0
Channel Islands*,2024,85539.0
Denmark*,1990,235918.0
Denmark*,1995,298278.0
Denmark*,2000,372128.0
Denmark*,2005,423167.0
Denmark*,2010,509751.0
Denmark*,2015,616741.0
Denmark*,2020,718856.0
Denmark*,2024,847475.0
Estonia,1990,381997.0
Estonia,1995,315755.0
Estonia,2000,249512.0
Estonia,2005,233701.0
Estonia,2010,217890.0
Estonia,2015,194664.0
Estonia,2020,199277.0
Estonia,2024,203046.0
Faroe Islands*,1990,4285.0
Faroe Islands*,1995,2900.0
Faroe Islands*,2000,3593.0
Faroe Islands*,2005,4583.0
Faroe Islands*,2010,5096.0
Faroe Islands*,2015,5485.0
Faroe Islands*,2020,6812.0
Faroe Islands*,2024,8101.0
Finland*,1990,63255.0
Finland*,1995,99729.0
Finland*,2000,136203.0
Finland*,2005,192169.0
Finland*,2010,228481.0
Finland*,2015,314856.0
Finland*,2020,386052.0
Finland*,2024,514432.0
Iceland,1990,9584.0
Iceland,1995,12738.0
Iceland,2000,15892.0
Iceland,2005,25492.0
Iceland,2010,35091.0
Iceland,2015,39072.0
Iceland,2020,65424.0
Iceland,2024,98818.0
Ireland,1990,227783.0
Ireland,1995,247379.0
Ireland,2000,376321.0
Ireland,2005,620579.0
Ireland,2010,751381.0
Ireland,2015,802470.0
Ireland,2020,951686.0
Ireland,2024,1216237.0
Isle of Man*,1990,34769.0
Isle of Man*,1995,36886.0
Isle of Man*,2000,39002.0
Isle of Man*,2005,41475.0
Isle of Man*,2010,43447.0
Isle of Man*,2015,42238.0
Isle of Man*,2020,43040.0
Isle of Man*,2024,43693.0
Latvia,1990,646007.0
Latvia,1995,538093.0
Latvia,2000,430178.0
Latvia,2005,376725.0
Latvia,2010,313786.0
Latvia,2015,265418.0
Latvia,2020,239422.0
Latvia,2024,220471.0
Lithuania,1990,349258.0
Lithuania,1995,273587.0
Lithuania,2000,214311.0
Lithuania,2005,201209.0
Lithuania,2010,160772.0
Lithuania,2015,136021.0
Lithuania,2020,145184.0
Lithuania,2024,175194.0
Norway*,1990,192587.0
Norway*,1995,233302.0
Norway*,2000,292440.0
Norway*,2005,361144.0
Norway*,2010,524601.0
Norway*,2015,746375.0
Norway*,2020,852238.0
Norway*,2024,1012404.0
Sweden,1990,784283.0
Sweden,1995,944802.0
Sweden,2000,1022156.0
Sweden,2005,1126971.0
Sweden,2010,1372074.0
Sweden,2015,1638195.0
Sweden,2020,2033902.0
Sweden,2024,2272158.0
United Kingdom*,1990,3664896.0
United Kingdom*,1995,4173053.0
United Kingdom*,2000,4747902.0
United Kingdom*,2005,5989992.0
United Kingdom*,2010,7713303.0
United Kingdom*,2015,9071431.0
United Kingdom*,2020,10520870.0
United Kingdom*,2024,11845479.0
Southern Europe,1990,5472616.0
Southern Europe,1995,7250345.0
Southern Europe,2000,8585552.0
Southern Europe,2005,11897749.0
Southern Europe,2010,15213351.0
Southern Europe,2015,15507903.0
Southern Europe,2020,17716268.0
Southern Europe,2024,20119984.0
Albania,1990,66013.0
Albania,1995,71354.0
Albania,2000,76695.0
Albania,2005,64739.0
Albania,2010,52784.0
Albania,2015,52031.0
Albania,2020,48810.0
Albania,2024,46377.0
Andorra,1990,38891.0
Andorra,1995,44206.0
Andorra,2000,42147.0
Andorra,2005,50298.0
Andorra,2010,52053.0
Andorra,2015,42264.0
Andorra,2020,45574.0
Andorra,2024,48408.0
Bosnia and Herzegovina,1990,56000.0
Bosnia and Herzegovina,1995,69476.0
Bosnia and Herzegovina,2000,82952.0
Bosnia and Herzegovina,2005,47287.0
Bosnia and Herzegovina,2010,38945.0
Bosnia and Herzegovina,2015,38597.0
Bosnia and Herzegovina,2020,36042.0
Bosnia and Herzegovina,2024,34120.0
Croatia,1990,475438.0
Croatia,1995,674085.0
Croatia,2000,585298.0
Croatia,2005,579273.0
Croatia,2010,573248.0
Croatia,2015,561093.0
Croatia,2020,528056.0
Croatia,2024,527831.0
Gibraltar*,1990,8709.0
Gibraltar*,1995,8381.0
Gibraltar*,2000,8054.0
Gibraltar*,2005,9211.0
Gibraltar*,2010,10369.0
Gibraltar*,2015,11065.0
Gibraltar*,2020,11190.0
Gibraltar*,2024,11291.0
Greece,1990,618139.0
Greece,1995,857850.0
Greece,2000,1111665.0
Greece,2005,1190707.0
Greece,2010,1321149.0
Greece,2015,1242924.0
Greece,2020,1340456.0
Greece,2024,1423964.0
Holy See*,1990,726.0
Holy See*,1995,705.0
Holy See*,2000,691.0
Holy See*,2005,659.0
Holy See*,2010,621.0
Holy See*,2015,572.0
Holy See*,2020,528.0
Holy See*,2024,496.0
Italy,1990,1529367.0
Italy,1995,1810642.0
Italy,2000,2143259.0
Italy,2005,3285903.0
Italy,2010,4719233.0
Italy,2015,5506199.0
Italy,2020,6223851.0
Italy,2024,6553671.0
Malta,1990,15077.0
Malta,1995,17740.0
Malta,2000,21521.0
Malta,2005,24560.0
Malta,2010,33008.0
Malta,2015,52642.0
Malta,2020,114760.0
Malta,2024,199466.0
Montenegro,1990,73743.0
Montenegro,1995,73743.0
Montenegro,2000,73743.0
Montenegro,2005,73743.0
Montenegro,2010,78512.0
Montenegro,2015,71719.0
Montenegro,2020,70999.0
Montenegro,2024,92237.0
North Macedonia,1990,95142.0
North Macedonia,1995,109343.0
North Macedonia,2000,125665.0
North Macedonia,2005,127667.0
North Macedonia,2010,129701.0
North Macedonia,2015,130730.0
North Macedonia,2020,131311.0
North Macedonia,2024,150902.0
Portugal,1990,435782.0
Portugal,1995,532822.0
Portugal,2000,651472.0
Portugal,2005,771184.0
Portugal,2010,762825.0
Portugal,2015,864814.0
Portugal,2020,1001963.0
Portugal,2024,1127184.0
San Marino,1990,3310.0
San Marino,1995,3659.0
San Marino,2000,4045.0
San Marino,2005,4218.0
San Marino,2010,4880.0
San Marino,2015,5195.0
San Marino,2020,5543.0
San Marino,2024,5838.0
Serbia*,1990,1064614.0
Serbia*,1995,1543744.0
Serbia*,2000,1419951.0
Serbia*,2005,1078633.0
Serbia*,2010,901044.0
Serbia*,2015,797595.0
Serbia*,2020,733091.0
Serbia*,2024,712550.0
Slovenia,1990,178077.0
Slovenia,1995,174419.0
Slovenia,2000,214508.0
Slovenia,2005,217218.0
Slovenia,2010,253786.0
Slovenia,2015,237616.0
Slovenia,2020,277964.0
Slovenia,2024,315122.0
Spain*,1990,813588.0
Spain*,1995,1258176.0
Spain*,2000,2023886.0
Spain*,2005,4372449.0
Spain*,2010,6281193.0
Spain*,2015,5892847.0
Spain*,2020,7146130.0
Spain*,2024,8870527.0
Western Europe,1990,17019914.0
Western Europe,1995,20263560.0
Western Europe,2000,21781702.0
Western Europe,2005,24134692.0
Western Europe,2010,25952723.0
Western Europe,2015,28688766.0
Western Europe,2020,32846290.0
Western Europe,2024,36742379.0
Austria,1990,633753.0
Austria,1995,764758.0
Austria,2000,920045.0
Austria,2005,1174101.0
Austria,2010,1285706.0
Austria,2015,1540486.0
Austria,2020,1781046.0
Austria,2024,2327064.0
Belgium,1990,944340.0
Belgium,1995,1003834.0
Belgium,2000,1076676.0
Belgium,2005,1243352.0
Belgium,2010,1567639.0
Belgium,2015,1814949.0
Belgium,2020,2046975.0
Belgium,2024,2349032.0
France*,1990,5890023.0
France*,1995,5936326.0
France*,2000,6141350.0
France*,2005,6839877.0
France*,2010,7322210.0
France*,2015,7978076.0
France*,2020,8610719.0
France*,2024,9186757.0
Germany,1990,6960112.0
Germany,1995,9637208.0
Germany,2000,10397459.0
Germany,2005,11210590.0
Germany,2010,11665950.0
Germany,2015,12646813.0
Germany,2020,15021300.0
Germany,2024,16750084.0
Liechtenstein,1990,10906.0
Liechtenstein,1995,13311.0
Liechtenstein,2000,15483.0
Liechtenstein,2005,18898.0
Liechtenstein,2010,22342.0
Liechtenstein,2015,23799.0
Liechtenstein,2020,25877.0
Liechtenstein,2024,27669.0
Luxembourg,1990,113795.0
Luxembourg,1995,126106.0
Luxembourg,2000,139750.0
Luxembourg,2005,150618.0
Luxembourg,2010,163142.0
Luxembourg,2015,248888.0
Luxembourg,2020,298062.0
Luxembourg,2024,344309.0
Monaco,1990,20359.0
Monaco,1995,21060.0
Monaco,2000,21787.0
Monaco,2005,21312.0
Monaco,2010,21132.0
Monaco,2015,25983.0
Monaco,2020,26601.0
Monaco,2024,27106.0
Netherlands*,1990,1194306.0
Netherlands*,1995,1397371.0
Netherlands*,2000,1584638.0
Netherlands*,2005,1735632.0
Netherlands*,2010,1850649.0
Netherlands*,2015,2024059.0
Netherlands*,2020,2425521.0
Netherlands*,2024,2956518.0
Switzerland,1990,1252320.0
Switzerland,1995,1363586.0
Switzerland,2000,1484514.0
Switzerland,2005,1740312.0
Switzerland,2010,2053953.0
Switzerland,2015,2385713.0
Switzerland,2020,2610189.0
Switzerland,2024,2773840.0
LATIN AMERICA AND THE CARIBBEAN,1990,7253323.0
LATIN AMERICA AND THE CARIBBEAN,1995,6728705.0
LATIN AMERICA AND THE CARIBBEAN,2000,6589509.0
LATIN AMERICA AND THE CARIBBEAN,2005,7111817.0
LATIN AMERICA AND THE CARIBBEAN,2010,8275866.0
LATIN AMERICA AND THE CARIBBEAN,2015,9109959.0
LATIN AMERICA AND THE CARIBBEAN,2020,14287765.0
LATIN AMERICA AND THE CARIBBEAN,2024,17510527.0
Caribbean,1990,1098014.0
Caribbean,1995,1186981.0
Caribbean,2000,1283729.0
Caribbean,2005,1321462.0
Caribbean,2010,1338511.0
Caribbean,2015,1501120.0
Caribbean,2020,1605381.0
Caribbean,2024,1811926.0
Anguilla*,1990,2570.0
Anguilla*,1995,3317.0
Anguilla*,2000,4063.0
Anguilla*,2005,4684.0
Anguilla*,2010,5103.0
Anguilla*,2015,5471.0
Anguilla*,2020,5715.0
Anguilla*,2024,5918.0
Antigua and Barbuda,1990,12029.0
Antigua and Barbuda,1995,17550.0
Antigua and Barbuda,2000,23071.0
Antigua and Barbuda,2005,24741.0
Antigua and Barbuda,2010,26412.0
Antigua and Barbuda,2015,28082.0
Antigua and Barbuda,2020,29386.0
Antigua and Barbuda,2024,30473.0
Aruba*,1990,14444.0
Aruba*,1995,22274.0
Aruba*,2000,30104.0
Aruba*,2005,32540.0
Aruba*,2010,34328.0
Aruba*,2015,36114.0
Aruba*,2020,53593.0
Aruba*,2024,73494.0
Bahamas,1990,26855.0
Bahamas,1995,31654.0
Bahamas,2000,36454.0
Bahamas,2005,45531.0
Bahamas,2010,54745.0
Bahamas,2015,59241.0
Bahamas,2020,63583.0
Bahamas,2024,67285.0
Barbados,1990,24024.0
Barbados,1995,26224.0
Barbados,2000,28424.0
Barbados,2005,30624.0
Barbados,2010,32825.0
Barbados,2015,34475.0
Barbados,2020,34869.0
Barbados,2024,35187.0
"Bonaire, Sint Eustatius and Saba*",1990,12930.0
"Bonaire, Sint Eustatius and Saba*",1995,13508.0
"Bonaire, Sint Eustatius and Saba*",2000,14233.0
"Bonaire, Sint Eustatius and Saba*",2005,16980.0
"Bonaire, Sint Eustatius and Saba*",2010,20559.0
"Bonaire, Sint Eustatius and Saba*",2015,24610.0
"Bonaire, Sint Eustatius and Saba*",2020,26454.0
"Bonaire, Sint Eustatius and Saba*",2024,30676.0
British Virgin Islands*,1990,8035.0
British Virgin Islands*,1995,10046.0
British Virgin Islands*,2000,12958.0
British Virgin Islands*,2005,15016.0
British Virgin Islands*,2010,17076.0
British Virgin Islands*,2015,19535.0
British Virgin Islands*,2020,22164.0
British Virgin Islands*,2024,24520.0
Cayman Islands*,1990,9315.0
Cayman Islands*,1995,12666.0
Cayman Islands*,2000,19176.0
Cayman Islands*,2005,20679.0
Cayman Islands*,2010,24062.0
Cayman Islands*,2015,26193.0
Cayman Islands*,2020,29242.0
Cayman Islands*,2024,31935.0
Cuba,1990,34555.0
Cuba,1995,26187.0
Cuba,2000,18545.0
Cuba,2005,11693.0
Cuba,2010,7373.0
Cuba,2015,4649.0
Cuba,2020,3024.0
Cuba,2024,2144.0
Curaçao*,1990,43150.0
Curaçao*,1995,43150.0
Curaçao*,2000,43150.0
Curaçao*,2005,43150.0
Curaçao*,2010,34630.0
Curaçao*,2015,37611.0
Curaçao*,2020,57210.0
Curaçao*,2024,80020.0
Dominica,1990,2519.0
Dominica,1995,3121.0
Dominica,2000,3723.0
Dominica,2005,4744.0
Dominica,2010,8110.0
Dominica,2015,8093.0
Dominica,2020,8284.0
Dominica,2024,8440.0
Dominican Republic,1990,291151.0
Dominican Republic,1995,323381.0
Dominican Republic,2000,355611.0
Dominican Republic,2005,375417.0
Dominican Republic,2010,395479.0
Dominican Republic,2015,549289.0
Dominican Republic,2020,603794.0
Dominican Republic,2024,738667.0
Grenada,1990,4263.0
Grenada,1995,5544.0
Grenada,2000,6825.0
Grenada,2005,6902.0
Grenada,2010,6980.0
Grenada,2015,7057.0
Grenada,2020,7213.0
Grenada,2024,7340.0
Guadeloupe*,1990,65944.0
Guadeloupe*,1995,74566.0
Guadeloupe*,2000,83188.0
Guadeloupe*,2005,89065.0
Guadeloupe*,2010,94942.0
Guadeloupe*,2015,90956.0
Guadeloupe*,2020,90206.0
Guadeloupe*,2024,89610.0
Haiti,1990,19084.0
Haiti,1995,18129.0
Haiti,2000,17222.0
Haiti,2005,16360.0
Haiti,2010,17182.0
Haiti,2015,18047.0
Haiti,2020,18884.0
Haiti,2024,19581.0
Jamaica,1990,20475.0
Jamaica,1995,22713.0
Jamaica,2000,24952.0
Jamaica,2005,24284.0
Jamaica,2010,23677.0
Jamaica,2015,23165.0
Jamaica,2020,23629.0
Jamaica,2024,24007.0
Martinique*,1990,38705.0
Martinique*,1995,46599.0
Martinique*,2000,54492.0
Martinique*,2005,57034.0
Martinique*,2010,59575.0
Martinique*,2015,69174.0
Martinique*,2020,68624.0
Martinique*,2024,68187.0
Montserrat*,1990,2013.0
Montserrat*,1995,1612.0
Montserrat*,2000,1211.0
Montserrat*,2005,1244.0
Montserrat*,2010,1291.0
Montserrat*,2015,1351.0
Montserrat*,2020,1379.0
Montserrat*,2024,1402.0
Puerto Rico*,1990,321909.0
Puerto Rico*,1995,338067.0
Puerto Rico*,2000,355038.0
Puerto Rico*,2005,352144.0
Puerto Rico*,2010,304969.0
Puerto Rico*,2015,280494.0
Puerto Rico*,2020,247132.0
Puerto Rico*,2024,223323.0
Saint Kitts and Nevis,1990,3210.0
Saint Kitts and Nevis,1995,4248.0
Saint Kitts and Nevis,2000,5871.0
Saint Kitts and Nevis,2005,6682.0
Saint Kitts and Nevis,2010,7245.0
Saint Kitts and Nevis,2015,7443.0
Saint Kitts and Nevis,2020,7725.0
Saint Kitts and Nevis,2024,7958.0
Saint Lucia,1990,5305.0
Saint Lucia,1995,7155.0
Saint Lucia,2000,9871.0
Saint Lucia,2005,9839.0
Saint Lucia,2010,9050.0
Saint Lucia,2015,8673.0
Saint Lucia,2020,8338.0
Saint Lucia,2024,8079.0
Saint Vincent and the Grenadines,1990,3970.0
Saint Vincent and the Grenadines,1995,4135.0
Saint Vincent and the Grenadines,2000,4307.0
Saint Vincent and the Grenadines,2005,4436.0
Saint Vincent and the Grenadines,2010,4569.0
Saint Vincent and the Grenadines,2015,4637.0
Saint Vincent and the Grenadines,2020,4738.0
Saint Vincent and the Grenadines,2024,4820.0
Sint Maarten (Dutch part)*,1990,23861.0
Sint Maarten (Dutch part)*,1995,23861.0
Sint Maarten (Dutch part)*,2000,23861.0
Sint Maarten (Dutch part)*,2005,13099.0
Sint Maarten (Dutch part)*,2010,26203.0
Sint Maarten (Dutch part)*,2015,27295.0
Sint Maarten (Dutch part)*,2020,28845.0
Sint Maarten (Dutch part)*,2024,30148.0
Trinidad and Tobago,1990,50666.0
Trinidad and Tobago,1995,45994.0
Trinidad and Tobago,2000,41753.0
Trinidad and Tobago,2005,44812.0
Trinidad and Tobago,2010,48226.0
Trinidad and Tobago,2015,50021.0
